########################
#Detector totMass fAV
########################
GD32A 458 88.20
GD32B 716 88.31
GD32C 743 89.46
GD32D 720 91.34
GD35A 768 90.17
GD35B 810 91.45
GD35C 634 90.24
GD61A 731 89.18
GD61B 751 88.72
GD61C 634 88.72
GD76B 384 84.78
GD76C 824 87.82
GD79B 736 88.07
GD79C 812 87.82
GD89A 524 88.16
GD89B 620 85.85
GD89C 595 87.43
GD89D 526 86.33
GD91A 627 88.94
GD91B 650 88.85
GD91C 627 88.71
GD91D 693 88.83
GD00A 496 88.60
GD00B 697 88.02
GD00C 815 89.16
GD00D 813 88.93
GD02A 545 89.61
GD02B 625 88.45
GD02C 788 88.79
GD02D 662 83.42

ANG1 958 83.0
ANG2 2833 87.1
ANG3 2391 86.6
ANG4 2372 90.1
ANG5 2746 83.1

RGI 2110 90.4
RGII 2166 83.1

GTF112 2965 100
GTF32 2321 100
GTF45 2312 100
